City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,tvoroyri,61.5556,-6.8111,51.35,99,100,15.03,FO,1695606439
312,muang phonsavan,19.45,103.2167,72.81,78,59,3.2,LA,1695606439
313,pavlovka,52.6897,47.1405,56.12,43,1,2.1,RU,1695606439
314,kayangel,8.0823,134.7173,82.11,82,100,25.43,PW,1695606440
315,wuwei,37.9281,102.6414,60.67,51,99,4.88,CN,1695606315
316,karratha,-20.7377,116.8463,87.48,26,2,15.41,AU,1695606440
317,kupino,54.3663,77.2981,47.59,87,100,7.07,RU,1695606440
318,trondheim,63.4305,10.3951,57.25,84,100,9.78,NO,1695606367
319,port saint john's,-31.6229,29.5448,68.23,95,100,22.28,ZA,1695606440
320,soure,-0.7167,-48.5233,81.59,75,0,14.97,BR,1695606440
321,flying fish cove,-10.4217,105.6791,76.68,83,100,14.97,CX,1695606295
322,pajok,3.8651,32.4821,66.13,98,41,3.51,SS,1695606440
323,tavda,58.0425,65.2726,51.73,95,3,5.84,RU,1695606441
324,minggang,32.4586,114.0486,63.77,94,100,5.97,CN,1695606262
325,vredefort,-27.0081,27.3646,66.2,36,100,22.37,ZA,1695606441
326,anloga,5.7947,0.8973,77.94,88,92,9.62,GH,1695606441
327,cannonvale,-20.2833,148.7,70.99,57,9,17.43,AU,1695606291
328,usinsk,65.9939,57.5281,53.06,96,100,7.83,RU,1695606290
329,hakui,36.8833,136.7833,84.13,65,100,5.68,JP,1695606441
330,portage la prairie,49.9728,-98.2926,61.11,71,100,10.13,CA,1695606441
331,mombetsu,44.3525,143.3525,69.82,52,75,3.44,JP,1695606441
332,tannum sands,-23.9504,151.3693,75.09,46,75,13.8,AU,1695606442
333,melfort,52.8667,-104.6177,61.97,71,74,7.85,CA,1695606325
334,colonia menno,-22.3667,-59.8167,89.37,24,15,9.73,PY,1695606331
335,princeville,45.7668,-61.2985,55.08,92,0,2.3,CA,1695606442
336,bodaybo,57.8506,114.1933,57.18,62,99,1.86,RU,1695606442
337,trairi,-3.2778,-39.2689,79.11,83,23,10.76,BR,1695606005
338,tamanrasset,22.785,5.5228,78.71,11,4,11.5,DZ,1695606279
339,chepo,9.1667,-79.1,78.58,93,100,1.72,PA,1695606442
340,nemuro,43.3236,145.575,63.77,73,88,10.78,JP,1695606310
341,guerrero negro,27.9769,-114.0611,70.52,76,6,19.15,MX,1695606317
342,hirara,24.8,125.2833,86.27,79,40,11.5,JP,1695606290
343,al qadarif,14.0349,35.3834,69.8,87,100,21.85,SD,1695606443
344,santa cruz,-17.8,-63.1667,83.66,65,0,9.22,BO,1695606443
345,chilmari,25.5559,89.6715,76.23,96,100,5.17,BD,1695606443
346,oodweyne,9.4092,45.064,74.61,61,5,12.01,SO,1695606443
347,soio,-6.1349,12.3689,74.7,87,97,8.25,AO,1695606443
348,aras-asan,8.8908,126.3033,86.81,63,29,1.45,PH,1695606443
349,murun-kuren,49.6342,100.1625,45.93,75,100,10.4,MN,1695606443
350,trinity beach,-16.7888,145.6968,77.05,74,40,11.5,AU,1695606444
351,manicore,-5.8092,-61.3003,80.11,68,98,2.28,BR,1695606444
352,cavalaire-sur-mer,43.174,6.5272,57.02,58,9,4.45,FR,1695606444
353,taoudenni,22.6783,-3.9836,94.93,11,27,6.17,ML,1695606332
354,harnai,30.1005,67.9374,74.93,29,0,3.47,PK,1695606444
355,diffa,13.3154,12.6113,85.24,42,54,7.16,NE,1695606444
356,bintulu,3.1667,113.0333,81.01,88,20,5.99,MY,1695606444
357,sao vicente,-23.9631,-46.3919,79.27,93,86,11.32,BR,1695606445
358,bayt lid,32.2609,35.1317,68.92,75,0,3.27,PS,1695606445
359,novo aripuana,-5.1206,-60.3797,84.9,50,77,2.55,BR,1695606445
